ApplicantIncome,A15,Married,Property_Area,Education,A7,TotalIncome,DTI,LoanAmount,CoapplicantIncome,Loan_Status,split
5677.0,,Yes,Rural,Graduate,,7101.0,0.014080540692762602,100.0,1424.0,1.0,train
,4340.0,,,,7.0,,,,,1.0,train
4166.0,,Yes,Urban,Graduate,,7535.0,0.026671974522292995,201.0,3369.0,0.0,train
,18782.0,,,,0.0,,,,,1.0,train
3975.0,,No,Rural,Not Graduate,,6506.0,0.008452435838327955,55.0,2531.0,1.0,train
3166.0,,Yes,Urban,Graduate,,5230.0,0.019881475817243355,104.0,2064.0,0.0,train
,3729.0,,,,20.0,,,,,1.0,train
3000.0,,Yes,Urban,Not Graduate,,4666.0,0.021427040925648167,100.0,1666.0,0.0,train
,3729.0,,,,20.0,,,,,1.0,train
,3804.0,,,,6.0,,,,,1.0,train
4050.0,,Yes,Rural,Not Graduate,,9352.0,0.014754624184753555,138.0,5302.0,0.0,train
,1328.0,,,,3.0,,,,,1.0,train
,4340.0,,,,7.0,,,,,1.0,train
2400.0,,Yes,Urban,Graduate,,2400.0,0.03123698458975427,75.0,0.0,1.0,train
3775.0,,Yes,Semiurban,Graduate,,3775.0,0.02913135593220339,110.0,0.0,1.0,train
,18782.0,,,,0.0,,,,,1.0,train
,3659.0,,,,18.0,,,,,1.0,train
2882.0,,Yes,Semiurban,Graduate,,4725.0,0.026026237833262803,123.0,1843.0,1.0,train
,1660.0,,,,5.0,,,,,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
,1328.0,,,,3.0,,,,,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
6250.0,,Yes,Rural,Graduate,,7550.0,0.014302741358760428,108.0,1300.0,1.0,train
,6604.0,,,,10.0,,,,,1.0,train
4652.0,,Yes,Semiurban,Graduate,,8235.0,,,3583.0,1.0,train
10408.0,,No,Urban,Graduate,,10408.0,0.02488231338264963,259.0,0.0,1.0,train
2600.0,,Yes,Semiurban,Not Graduate,,4511.0,0.025709219858156027,116.0,1911.0,0.0,train
,2616.0,,,,4.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
,6604.0,,,,10.0,,,,,1.0,train
,2212.0,,,,6.0,,,,,0.0,train
,18782.0,,,,0.0,,,,,1.0,train
,2212.0,,,,6.0,,,,,0.0,train
3750.0,,No,Urban,Graduate,,3750.0,0.030125299920021328,113.0,0.0,0.0,train
,2616.0,,,,4.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
,1328.0,,,,3.0,,,,,1.0,train
5250.0,,Yes,Rural,Graduate,,5938.0,0.02694056238423977,160.0,688.0,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
4288.0,,Yes,Urban,Not Graduate,,7551.0,0.017611228813559324,133.0,3263.0,1.0,train
1759.0,,Yes,Semiurban,Graduate,,5300.0,0.024712318430484815,131.0,3541.0,1.0,train
3340.0,,Yes,Rural,Graduate,,5050.0,0.02969708968521085,150.0,1710.0,0.0,train
3593.0,,Yes,Rural,Graduate,,7859.0,0.016793893129770993,132.0,4266.0,0.0,train
15759.0,,No,Semiurban,Graduate,,15759.0,0.0034898477157360407,55.0,0.0,1.0,train
4095.0,,No,Rural,Graduate,,7542.0,0.020018560254540633,151.0,3447.0,1.0,train
,6604.0,,,,10.0,,,,,1.0,train
,1562.0,,,,5.0,,,,,1.0,train
2980.0,,No,Rural,Graduate,,5063.0,0.023696682464454975,120.0,2083.0,1.0,train
,18721.0,,,,0.0,,,,,1.0,train
,4340.0,,,,7.0,,,,,1.0,train
,1562.0,,,,5.0,,,,,1.0,train
,18782.0,,,,0.0,,,,,1.0,train
1958.0,,Yes,Urban,Not Graduate,,3414.0,0.017569546120058566,60.0,1456.0,1.0,train
,4340.0,,,,7.0,,,,,1.0,train
,6604.0,,,,10.0,,,,,1.0,train
,2824.0,,,,4.0,,,,,1.0,train
,3804.0,,,,6.0,,,,,1.0,train
2971.0,,No,Semiurban,Graduate,,5762.0,0.024986985944820406,144.0,2791.0,1.0,train
,2080.0,,,,6.0,,,,,1.0,train
2083.0,,Yes,Semiurban,Graduate,,6166.0,0.025944543538187124,160.0,4083.0,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
,1562.0,,,,5.0,,,,,1.0,train
,4340.0,,,,7.0,,,,,1.0,train
,4340.0,,,,7.0,,,,,1.0,train
3993.0,,Yes,Semiurban,Graduate,,7267.0,0.028481012658227847,207.0,3274.0,1.0,train
,4340.0,,,,7.0,,,,,1.0,train
,1328.0,,,,3.0,,,,,1.0,train
6283.0,,No,Rural,Graduate,,10699.0,0.01953271028037383,209.0,4416.0,0.0,train
,1328.0,,,,3.0,,,,,1.0,train
3875.0,,Yes,Urban,Graduate,,3875.0,0.017285861713106296,67.0,0.0,0.0,train
,3729.0,,,,20.0,,,,,1.0,train
,6604.0,,,,10.0,,,,,1.0,train
,4340.0,,,,7.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
,2616.0,,,,4.0,,,,,1.0,train
16692.0,,Yes,Semiurban,Graduate,,16692.0,0.006589588450248607,110.0,0.0,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
8333.0,,Yes,Semiurban,Graduate,,8333.0,0.029517638588912886,246.0,0.0,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
,4340.0,,,,7.0,,,,,1.0,train
,3659.0,,,,18.0,,,,,1.0,train
,1328.0,,,,3.0,,,,,1.0,train
,2824.0,,,,4.0,,,,,1.0,train
3466.0,,Yes,Rural,Graduate,,4676.0,0.027795595467179815,130.0,1210.0,1.0,train
,1562.0,,,,5.0,,,,,1.0,train
3600.0,,No,Urban,Graduate,,3600.0,0.022216051096917523,80.0,0.0,0.0,train
,4340.0,,,,7.0,,,,,1.0,train
,3729.0,,,,20.0,,,,,1.0,train
3315.0,,Yes,Semiurban,Graduate,,3315.0,0.028950542822677925,96.0,0.0,1.0,train
3497.0,,Yes,Rural,Graduate,,5461.0,0.021237641889417794,116.0,1964.0,1.0,train
,2824.0,,,,4.0,,,,,1.0,train
63337.0,,Yes,Urban,Graduate,,63337.0,0.007736272064163693,490.0,0.0,1.0,train
,4340.0,,,,7.0,,,,,1.0,train
,18721.0,,,,0.0,,,,,1.0,train
,2719.0,,,,13.0,,,,,0.0,train
,1328.0,,,,3.0,,,,,1.0,train
1828.0,,Yes,Urban,Graduate,,3158.0,0.03165558721114277,100.0,1330.0,0.0,train
,4340.0,,,,7.0,,,,,1.0,train
,18782.0,,,,0.0,,,,,1.0,train
6045.0,,No,Rural,Not Graduate,,6045.0,0.01902084022494211,115.0,0.0,0.0,train
20233.0,,No,Rural,Graduate,,20233.0,0.023722447365819906,480.0,0.0,0.0,train
,4340.0,,,,7.0,,,,,1.0,train
2309.0,,Yes,Rural,Not Graduate,,3564.0,0.03506311360448808,125.0,1255.0,0.0,train
,3729.0,,,,20.0,,,,,1.0,train
,6604.0,,,,10.0,,,,,1.0,train
4333.0,,Yes,Urban,Graduate,,6784.0,0.016212232866617538,110.0,2451.0,0.0,train
